date,equity,cash,positions_count,cummax,drawdown,daily_return
2025-09-15,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-16,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-17,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-18,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-19,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-22,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-23,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-24,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-25,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-26,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-29,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-30,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-09,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-10,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-13,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-14,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-15,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-16,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-17,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-20,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-21,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-22,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-23,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-24,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-27,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-28,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-29,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-30,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-10-31,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-03,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-04,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-05,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-06,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-07,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-10,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-11-11,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
